id,stage_name,real_name,genre,subgenre,fame_tier,reputation,audience,region,cost_low,cost_high,social_followers,soundtrack_fit_tags,strengths,risks,scandal_risk,availability,personality,deal_preference
27,Lorde Luna,Ella Yarrow,Indie,Art Pop,STAR,87,Teen and Prestige,Oceania,500000,1500000,18000000,"teen, prestige, mystery, romance, coming-of-age","minimalist cool, poetic lyrics, festival credibility",long gaps between releases,LOW,SELECTIVE,Introspective and sharp,Selective sync licensing
28,Hozier Hollow,Andrew Byrnewood,Folk,Indie Soul,STAR,89,Prestige and Romance,Europe,650000,1900000,23000000,"romance, prestige, fantasy, drama, nature","haunting vocals, literary image, emotional weight",less suited to high-energy action,LOW,SELECTIVE,Soulful and thoughtful,Fee plus artistic approval
29,Coldplayt,Christopher Marten,Rock,Arena Rock,LEGEND,93,Global and Family,Europe,5500000,15000000,78000000,"family, festival, romance, superhero, global","stadium emotion, uplifting choruses, universal appeal","premium cost, very polished brand image",LOW,RARE,Optimistic and collaborative,Major fee plus charity tie-in
30,Imagine Draggins,Daniel Reynard,Rock,Pop Rock,SUPERSTAR,86,Action and Trailer,North America,1300000,4200000,63000000,"action, superhero, sports, festival, family","huge drums, trailer-ready choruses, arena scale",can feel overused in trailers,LOW,SELECTIVE,Driven and intense,Trailer sync premium
31,Arctic Monkies,Alex Turnworth,Rock,Indie Rock,STAR,84,Indie and Prestige,Europe,600000,1800000,27000000,"crime, prestige, nightlife, roadtrip, romance","cool riffs, stylish grit, cult credibility",less mainstream in family games,LOW,SELECTIVE,Dry and stylish,Limited license plus approval
32,Foo Fliers,Dave Grover,Rock,Alternative Rock,LEGEND,91,Rock and Festival,North America,4200000,11000000,35000000,"action, festival, roadtrip, sports, family","anthemic guitars, legacy status, live energy",touring schedule is difficult,LOW,RARE,Down-to-earth and loud,Premium band fee
33,Metal Llama,James Hetfieldson,Metal,Heavy Metal,LEGEND,90,Action and Rock,North America,5000000,13000000,29000000,"action, horror, crime, sports, apocalypse","massive riffs, iconic heaviness, loyal fans",intense tone limits soft scenes,MEDIUM,RARE,Grizzled and fierce,Premium licensing fee
34,Slipknotty,Corey Maskwell,Metal,Nu Metal,STAR,79,Horror and Action,North America,750000,2400000,21000000,"horror, action, crime, apocalypse, underground","aggressive sound, masked visuals, cult devotion","not family-safe, high intensity",HIGH,SELECTIVE,Volatile and theatrical,Limited usage plus approvals
35,BTSky,Min Jae-Hoon,K-pop,Idol Pop,LEGEND,98,Teen and Global,East Asia,7500000,21000000,240000000,"teen, family, romance, superhero, global","massive fandom, polished choreography, global reach",availability extremely rare,LOW,RARE,Disciplined and radiant,Premium fee plus fan campaign
36,Black Pynk,Jisoo Parklin,K-pop,Girl Group Pop,SUPERSTAR,94,Teen and Fashion,East Asia,3000000,9000000,190000000,"luxury, fashion, action, teen, global","fashion power, fierce hooks, global youth appeal",brand exclusivity conflicts,LOW,RARE,Glossy and fierce,Premium fee plus brand approval
37,NewJeanz,Nari Kim,K-pop,Y2K Pop,STAR,85,Teen and Trend,East Asia,650000,2000000,36000000,"teen, fashion, family, romance, city","fresh style, viral dances, soft nostalgia",youth image needs careful handling,LOW,SELECTIVE,Bright and effortless,Fee plus dance challenge
38,Twicey Twice,Mina Han,K-pop,Bubblegum Pop,STAR,83,Family and Teen,East Asia,600000,1800000,42000000,"family, teen, romance, festival, global","bright hooks, friendly image, choreography",cute style may not fit dark scenes,LOW,SELECTIVE,Cheerful and hardworking,Group fee plus promo clips
39,Bad Bunno,Benito Vega,Latin,Reggaeton,SUPERSTAR,93,Club and Global,Latin America,2200000,7000000,142000000,"festival, street, romance, luxury, global","global Latin pull, fashion edge, dance energy",explicit content and image control,MEDIUM,RARE,Bold and unpredictable,Premium fee plus Spanish-language placement
40,Shakira Shake,Shara Ripoll,Latin,Latin Pop,LEGEND,92,Family and Global,Latin America,4500000,12500000,99000000,"family, festival, romance, global, dance","distinct vocals, dance identity, cross-border appeal","legacy pricing, limited windows",LOW,RARE,Magnetic and energetic,Premium fee plus global rollout
41,J Balvyn,Jose Balvinho,Latin,Urbano,SUPERSTAR,88,Global and Club,Latin America,1500000,4800000,61000000,"festival, luxury, street, romance, global","colorful branding, club appeal, Latin credibility",genre saturation in ads,LOW,SELECTIVE,Sunny and stylish,Fee plus bilingual campaign
42,Rosalia Rosa,Rosa Vila,Latin,Flamenco Pop,STAR,89,Prestige and Fashion,Europe,850000,2500000,32000000,"prestige, fashion, romance, luxury, drama","avant-garde style, flamenco texture, fashion credibility",niche sound may need careful scenes,LOW,SELECTIVE,Artful and intense,Creative approval plus premium fee
43,Karol Gee,Carolina Giraldoz,Latin,Reggaeton Pop,STAR,87,Club and Female Audience,Latin America,750000,2200000,68000000,"romance, festival, luxury, street, global","empowerment anthems, colorful visuals, club reach",tour schedule pressure,LOW,SELECTIVE,Warm and confident,Flat fee plus social posts
44,Peso Plumares,Hector Plumar,Norteño,Corridos,STAR,78,Street and Latin,Latin America,600000,1800000,24000000,"street, crime, drama, roadtrip, global","regional freshness, gritty storytelling, viral appeal",lyrical themes may be sensitive,HIGH,SELECTIVE,Raw and restless,Fee plus clean lyric edits
45,Diljeet Dose,Daljit Dosan,Punjabi,Bhangra Pop,STAR,88,South Asian and Global,South Asia,700000,2200000,35000000,"festival, family, romance, comedy, global","charisma, dance energy, diaspora appeal",language fit may be regional,LOW,SELECTIVE,Charming and humorous,Upfront fee plus film cameo option
46,AP Dhallun,Arjun Dhaliwal,Punjabi,Urban Punjabi,STAR,82,Street and Youth,South Asia,500000,1500000,19000000,"street, romance, nightlife, luxury, global","moody Punjabi hooks, youth appeal, sleek beats",limited mainstream family fit,MEDIUM,SELECTIVE,Cool and reserved,Streaming bonus plus fee
47,Badshah Boom,Aditya Bansal,Rap,Desi Hip-Hop,STAR,81,Party and Bollywood,South Asia,450000,1400000,28000000,"comedy, festival, luxury, family, nightlife","party hooks, ad-friendly energy, quick turnaround",can feel commercial,MEDIUM,COMMON,Flashy and funny,Flat fee plus brand mention
48,Divine Dagger,Vivaan Fernandes,Rap,Gully Rap,STAR,86,Street and Prestige,South Asia,550000,1600000,12000000,"street, crime, prestige, drama, underdog","authentic grit, strong storytelling, urban credibility",edgy language requires edits,MEDIUM,SELECTIVE,Focused and grounded,Fee plus narrative placement
49,Arijit Singhara,Arin Sengupta,Bollywood,Playback Ballad,LEGEND,96,Romance and Family,South Asia,3500000,10000000,54000000,"romance, family, prestige, drama, wedding","gold-standard vocals, emotional recall, mass appeal",hard to book during film season,LOW,RARE,Soft-spoken and sincere,Premium playback fee
50,Shreya Ghoshala,Shreya Ghoshwin,Bollywood,Classical Playback,LEGEND,94,Family and Prestige,South Asia,3000000,8500000,46000000,"romance, family, prestige, fantasy, wedding","pure vocals, multilingual reach, family trust",requires elegant material,LOW,RARE,Graceful and professional,Premium fee plus lyric approval
51,A.R. Rahmaani,Aman Rahman,Bollywood,Film Score,LEGEND,99,Prestige and Global,South Asia,6000000,19000000,39000000,"prestige, fantasy, family, global, epic","world-class scoring, spiritual atmosphere, awards value","slow process, limited projects",LOW,RARE,Visionary and calm,Composer fee plus soundtrack rights
52,Pritam Pulse,Pritham Chakraborty,Bollywood,Commercial Film Pop,STAR,85,Family and Festival,South Asia,600000,1800000,16000000,"festival, romance, family, comedy, dance","hitmaking instincts, versatile film moods, catchy hooks","busy schedule, possible soundalike fatigue",LOW,COMMON,Fast and collaborative,Package deal per song
53,Nusrat Fateh Echo,Nasir Qawwal,Folk,Qawwali Fusion,LEGEND,93,Spiritual and Prestige,South Asia,2800000,9000000,17000000,"prestige, spiritual, drama, epic, heritage","transcendent vocals, devotional power, timeless aura",specific cultural context needed,LOW,RARE,Devout and magnetic,Heritage license plus premium fee
54,Burna Boii,Damini Oguluwa,Afrobeats,Afrofusion,SUPERSTAR,91,Global and Festival,Africa,1500000,4800000,36000000,"festival, street, luxury, global, action","big voice, pan-African prestige, festival dominance",tour availability tight,MEDIUM,SELECTIVE,Commanding and proud,High fee plus global campaign
55,WizKiddo,Ayodeji Balogunwa,Afrobeats,Afropop,SUPERSTAR,89,Romance and Global,Africa,1400000,4200000,44000000,"romance, festival, luxury, nightlife, global","smooth hooks, diaspora pull, breezy vibe",laid-back schedule uncertainty,LOW,SELECTIVE,Cool and effortless,Fee plus streaming bonus
56,Temsie,Tamara Openi,Afrobeats,Alté R&B,STAR,88,Prestige and Global,Africa,700000,2100000,19000000,"romance, prestige, luxury, global, drama","velvet voice, emotional weight, upscale appeal",slower catalog limits action use,LOW,SELECTIVE,Mystical and calm,Creative approval plus fee
57,Rema Ray,Ramon Alade,Afrobeats,Afro-Rave,STAR,84,Teen and Festival,Africa,550000,1700000,24000000,"teen, festival, romance, global, nightlife","youthful hooks, dance appeal, international buzz",fast-changing trend cycle,MEDIUM,COMMON,Energetic and stylish,Flat fee plus dance challenge
58,Avichi Volt,Adam Bergstrom,EDM,Progressive House,LEGEND,90,Festival and Nostalgia,Europe,3500000,11000000,36000000,"festival, romance, travel, family, global","uplifting drops, emotional melodies, nostalgic impact",legacy estate-style approvals,LOW,RARE,Bright and melodic,Premium catalog license
59,Marshmello Moon,Marshall Mellor,EDM,Festival Trap,SUPERSTAR,86,Family and Gaming,North America,1200000,3600000,62000000,"family, gaming, festival, superhero, teen","masked branding, game-friendly energy, clean appeal",can feel corporate,LOW,SELECTIVE,Playful and anonymous,Fee plus in-game skin tie-in
60,Calvin Hairs,Callum Harris,EDM,Dance Pop,SUPERSTAR,88,Club and Global,Europe,1300000,4000000,51000000,"festival, luxury, romance, nightlife, global","radio-ready dance, sleek production, global clubs",premium licensing windows,LOW,SELECTIVE,Smooth and businesslike,Flat sync fee
61,Martin Gearix,Martijn Gerrard,EDM,Big Room House,STAR,83,Festival and Sports,Europe,600000,1900000,29000000,"festival, sports, action, superhero, global","massive drops, youthful energy, esports fit",less emotional range,LOW,COMMON,Focused and upbeat,Performance plus sync bundle
62,David Getta,Davide Guettaire,EDM,Club House,LEGEND,89,Club and Global,Europe,3000000,9500000,48000000,"festival, nightlife, luxury, romance, global","club legacy, crossover hits, global DJ credibility",sound may feel familiar,LOW,SELECTIVE,Flashy and reliable,Premium DJ license
63,Zedd Zeppelin,Anton Zaslavskiy,EDM,Electro Pop,STAR,84,Teen and Luxury,Europe,650000,2000000,23000000,"teen, luxury, romance, festival, sci-fi","clean production, bright melodies, brand-safe dance",needs vocalist pairing sometimes,LOW,COMMON,Precise and polished,Flat fee plus remix option
64,Kacey Musgravey,Kassandra Graves,Country,Country Pop,STAR,87,Romance and Family,North America,650000,2000000,18000000,"romance, family, prestige, roadtrip, smalltown","warm songwriting, crossover charm, tasteful image",less fit for urban crime scenes,LOW,SELECTIVE,Witty and graceful,Fee plus lyric approval
65,Luke Combson,Lucas Comber,Country,Modern Country,STAR,84,Family and Smalltown,North America,600000,1800000,16000000,"family, roadtrip, sports, romance, smalltown","big voice, relatable lyrics, heartland appeal",regional skew outside North America,LOW,COMMON,Friendly and grounded,Flat fee plus tour tie-in
66,Dolly Partinova,Dorothy Partlow,Country,Classic Country,LEGEND,98,Family and Legacy,North America,5000000,14000000,12000000,"family, romance, prestige, comedy, heritage","beloved icon energy, warmth, timeless storytelling",high approval standards,LOW,RARE,Kind and sparkling,Premium fee plus charity clause
67,Chris Stapletony,Christopher Stapleford,Country,Southern Soul,STAR,90,Prestige and Roadtrip,North America,800000,2500000,11000000,"roadtrip, romance, prestige, drama, western","gritty vocals, authenticity, adult audience pull",slower pace for action cuts,LOW,SELECTIVE,Reserved and soulful,Performance fee plus sync
68,Johnny Cashmere,Jonah Cashwell,Country,Outlaw Country,LEGEND,92,Crime and Heritage,North America,3200000,9500000,9000000,"crime, western, prestige, roadtrip, rebellion","deep voice, outlaw aura, timeless grit",dark tone not family-first,MEDIUM,RARE,Stoic and haunted,Legacy-style premium license
69,Norah Junes,Nora Janeway,Jazz,Vocal Jazz,STAR,89,Prestige and Romance,North America,650000,1900000,15000000,"romance, prestige, cafe, luxury, drama","soft vocals, elegant mood, adult appeal",low-energy for action scenes,LOW,SELECTIVE,Calm and classy,Flat sync fee
70,Kamasi Washburn,Kamal Washington,Jazz,Spiritual Jazz,KNOWN,78,Prestige and Art,North America,120000,350000,2200000,"prestige, noir, spiritual, drama, city","cinematic sax, serious credibility, art-house appeal",niche audience,LOW,COMMON,Deep and experimental,Composer package deal
71,Herbie Handcock,Herbert Hancroft,Jazz,Fusion Jazz,LEGEND,91,Prestige and Legacy,North America,2500000,8000000,6000000,"prestige, sci-fi, luxury, city, heritage","fusion legacy, sophisticated grooves, musician respect",premium catalog pricing,LOW,RARE,Curious and inventive,Premium license plus approval
72,Ludovico Einaudy,Luca Einaudelli,Classical,Minimalist Piano,STAR,88,Prestige and Drama,Europe,700000,2200000,8000000,"prestige, drama, romance, mystery, nature","emotional piano, cinematic simplicity, prestige value",can feel somber,LOW,SELECTIVE,Quiet and elegant,Score license plus cue approval
73,Yo-Yo Mellow,Jonas Ma,Classical,Cello Classical,LEGEND,97,Prestige and Family,East Asia,4000000,12000000,7000000,"prestige, family, historical, drama, global","virtuoso warmth, elite credibility, timeless tone",limited fit for pop-driven scenes,LOW,RARE,Gentle and brilliant,Premium performance license
74,Hans Zimmmerman,Hans Zimmerman,Classical,Film Orchestra,LEGEND,98,Action and Epic,Europe,7000000,22000000,18000000,"action, superhero, prestige, epic, sci-fi","massive orchestration, trailer power, global recognition","very expensive, heavy scheduling limits",LOW,RARE,Intense and visionary,Composer fee plus soundtrack ownership split
75,Ennio Morriconi,Eneo Marconi,Classical,Western Score,LEGEND,95,Prestige and Western,Europe,4500000,13000000,5000000,"western, prestige, drama, crime, heritage","whistling motifs, emotional grandeur, classic cinema feel",legacy tone may feel old-fashioned,LOW,RARE,Poetic and meticulous,Premium heritage license
76,Bob Dylanova,Robert Dylane,Folk,Protest Folk,LEGEND,94,Prestige and Heritage,North America,4200000,12000000,10000000,"prestige, roadtrip, drama, rebellion, heritage","lyrical mythology, cultural weight, timeless voice","rough vocal style, very selective",MEDIUM,RARE,Cryptic and independent,Premium publishing approval
77,Joanie Mitchells,Joanna Mitchellton,Folk,Confessional Folk,LEGEND,96,Prestige and Romance,North America,3800000,11000000,7000000,"romance, prestige, drama, nature, heritage","poetic writing, emotional intelligence, legacy prestige",limited commercial flexibility,LOW,RARE,Reflective and exacting,Artistic approval plus fee
78,Mumford Suns,Marcus Mumfordale,Folk,Folk Rock,STAR,82,Festival and Roadtrip,Europe,500000,1500000,14000000,"festival, roadtrip, family, romance, adventure","stomping rhythms, group chants, rustic warmth",folk boom nostalgia,LOW,COMMON,Earnest and energetic,Flat band fee
79,Florence Machinea,Flora Welchwood,Indie,Baroque Pop,STAR,90,Prestige and Fantasy,Europe,800000,2500000,18000000,"fantasy, prestige, romance, action, drama","huge vocals, mystical image, cinematic crescendos",dramatic style can overpower scenes,LOW,SELECTIVE,Mythic and passionate,Creative approval plus fee
80,Tame Impalara,Kevin Parkerly,Indie,Psychedelic Pop,STAR,87,Indie and Festival,Oceania,700000,2300000,17000000,"festival, roadtrip, romance, sci-fi, luxury","psychedelic grooves, cool factor, dreamy production","niche lyrics, remix approvals",LOW,SELECTIVE,Detached and inventive,Sync fee plus remix rights
